file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,132,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,133,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,14
style.css,134,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,11
style.css,135,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,13
style.css,136,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,17
style.css,137,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,21
style.css,138,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,53
style.css,139,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,14
style.css,140,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,141,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,0
style.css,142,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,20
style.css,143,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,39
style.css,144,css,e939b711,Shriya Pattapu,2025-04-25,22:27:56,-07:00,2025-04-25T22:27:56-07:00,0,41
style.css,145,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,146,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,19
style.css,147,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,15
style.css,148,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,17
style.css,149,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,17
style.css,150,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,151,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,24
style.css,152,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,17
style.css,153,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,154,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,52
style.css,155,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,12
style.css,156,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,157,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,10
style.css,158,css,6fca2621,Shriya Pattapu,2025-05-03,00:31:13,-07:00,2025-05-03T00:31:13-07:00,0,87
style.css,159,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,160,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,14
style.css,161,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,21
style.css,162,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,0
style.css,163,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,5
style.css,164,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,18
style.css,165,css,bf64b403,Shriya Pattapu,2025-05-03,00:24:37,-07:00,2025-05-03T00:24:37-07:00,0,15
